date,open,high,close,low,volume,amount
2011-09-09,49.09,49.53,47.85,47.8,382457.0,7183641.0
2011-09-08,50.05,50.33,48.65,48.57,999161.0,19103052.0
2011-09-07,49.81,50.3,50.07,48.91,411576.0,7907494.0
2011-09-06,49.32,49.92,49.58,48.52,659464.0,12553544.0
2011-09-05,50.74,50.74,49.61,49.04,883975.0,16920356.0
2011-09-02,51.18,52.11,50.9,50.87,595266.0,11830403.0
2011-09-01,51.7,51.93,51.34,51.29,628593.0,12540437.0
2011-08-31,52.27,52.89,51.73,50.9,1118894.0,22345492.0
2011-08-30,52.32,53.22,52.42,51.88,1707798.0,34756760.0
2011-08-29,52.45,52.91,52.11,51.67,907945.0,18413700.0
2011-08-26,52.45,52.94,52.47,52.09,1079807.0,21922266.0
2011-08-25,52.06,52.58,52.5,51.16,1562411.0,31306022.0
2011-08-24,53.22,53.43,52.5,52.47,1120750.0,22913440.0
2011-08-23,51.73,53.43,52.91,51.73,2254860.0,46179844.0
2011-08-22,51.34,52.06,51.67,50.98,952358.0,19020672.0
2011-08-19,50.64,51.54,51.41,50.07,991744.0,19519520.0
2011-08-18,51.47,51.78,51.29,50.46,778295.0,15364603.0
2011-08-17,51.57,51.78,51.67,50.8,1080992.0,21459478.0
2011-08-16,52.32,52.58,51.8,50.92,1013333.0,20224286.0
2011-08-15,51.85,52.32,51.8,50.77,1287753.0,25742512.0
2011-08-12,50.33,52.01,51.26,50.12,1675164.0,33281398.0
2011-08-11,47.0,50.82,50.3,46.84,1816840.0,35137100.0
2011-08-10,48.55,49.74,48.31,48.29,958022.0,18199816.0
2011-08-09,47.0,48.26,47.8,46.2,1181297.0,21718952.0
2011-08-08,49.17,49.81,48.06,46.2,1348058.0,25104636.0
2011-08-05,49.22,50.07,49.94,46.51,782736.0,14945404.0
2011-08-04,50.77,51.6,50.72,50.25,607407.0,11985433.0
2011-08-03,49.04,50.74,50.72,48.6,755019.0,14629949.0
2011-08-02,50.46,50.46,49.63,48.47,809707.0,15387766.0
2011-08-01,50.15,50.77,50.38,50.12,611092.0,11943617.0
2011-07-29,50.28,50.87,50.51,49.66,929562.0,18148754.0
2011-07-28,50.07,50.56,50.28,49.17,991558.0,19156816.0
2011-07-26,49.63,50.36,49.94,48.96,889610.0,17001374.0
2011-07-25,52.14,52.32,49.63,49.43,1568899.0,30711102.0
2011-07-22,52.11,52.89,52.09,51.98,630978.0,12785518.0
2011-07-21,52.47,52.71,51.98,51.67,791880.0,15990195.0
2011-07-20,52.78,53.33,52.97,51.93,2248731.0,45629064.0
2011-07-19,54.65,54.75,52.68,52.5,2145293.0,44485748.0
2011-07-18,54.59,54.98,54.65,53.9,2165681.0,45497796.0
2011-07-15,53.51,54.8,54.54,53.17,3357661.0,70548128.0
2011-07-14,54.0,54.08,53.56,52.84,1498535.0,30910274.0
2011-07-13,53.15,53.87,53.48,52.32,1840431.0,37816392.0
2011-07-12,53.22,54.34,53.02,52.71,2582658.0,53771860.0
2011-07-11,53.17,53.71,53.2,52.22,2136356.0,43742004.0
2011-07-08,54.65,55.29,53.74,52.94,6227222.0,130885384.0
2011-07-07,52.97,54.77,54.26,51.98,5188412.0,107531936.0
2011-07-06,50.95,53.35,53.35,50.92,4551858.0,92141864.0
2011-07-05,49.99,50.9,50.9,49.58,1714373.0,33407910.0
2011-07-04,49.04,49.94,49.81,48.65,1285096.0,24688270.0
2011-07-01,49.09,49.35,49.06,48.57,944271.0,17910394.0
2011-06-30,49.01,49.5,49.09,48.37,828100.0,15742110.0
2011-06-29,49.09,50.02,48.6,48.6,1408582.0,26802748.0
2011-06-28,49.53,49.55,49.35,49.12,760645.0,14510836.0
2011-06-27,49.22,49.71,49.55,48.62,1266864.0,24126138.0
2011-06-24,47.51,49.92,49.22,47.31,2178013.0,40996868.0
2011-06-23,46.76,47.8,47.8,45.73,734039.0,13387052.0
2011-06-22,46.71,46.92,46.76,45.63,820269.0,14722791.0
2011-06-21,45.99,46.87,46.84,45.24,783560.0,14080643.0
2011-06-20,46.38,46.58,45.99,44.47,993274.0,17475378.0
2011-06-17,47.0,47.7,46.89,46.27,1468390.0,26631582.0
2011-06-16,48.29,51.34,48.06,47.67,3280286.0,62102436.0
2011-06-15,46.79,47.26,46.66,46.12,598499.0,10817256.0
2011-06-14,47.54,47.54,46.92,46.53,405011.0,7379912.0
2011-06-13,46.3,46.58,46.45,45.11,374887.0,6679644.0
2011-06-10,46.74,46.84,46.33,46.04,336778.0,6049611.0
2011-06-09,47.28,47.28,46.74,45.81,765536.0,13745913.0
2011-06-08,48.01,48.01,47.26,46.69,519244.0,9462992.0
2011-06-07,47.31,48.03,47.67,46.79,706539.0,13014913.0
2011-06-03,46.97,47.41,47.26,46.77,514800.0,9386726.0
2011-06-02,47.1,47.51,46.79,46.74,662798.0,12057265.0
2011-06-01,48.19,48.55,47.59,47.31,578925.0,10691557.0
2011-05-31,47.23,48.08,48.01,46.87,784957.0,14456591.0
2011-05-30,45.73,48.08,47.57,45.47,1767146.0,32160260.0
2011-05-27,47.0,47.0,45.73,44.39,1015665.0,17891588.0
2011-05-26,46.48,47.41,46.51,45.94,1044237.0,18804024.0
2011-05-25,47.26,47.82,46.02,45.73,596576.0,10766518.0
2011-05-24,47.95,48.06,47.26,46.04,842571.0,15327141.0
2011-05-23,50.28,50.28,48.19,46.63,1419571.0,26468120.0
2011-05-20,49.87,50.15,49.94,49.35,512031.0,9856506.0
2011-05-19,50.28,50.28,50.02,49.4,607795.0,11725534.0
2011-05-18,49.99,50.43,50.05,49.22,661928.0,12791041.0
2011-05-17,49.17,50.36,49.99,49.17,869694.0,16800416.0
2011-05-16,50.12,51.6,49.74,49.58,1865402.0,36379280.0
2011-05-13,50.64,51.16,50.59,48.86,1435506.0,27636650.0
2011-05-12,52.06,52.19,50.85,50.72,1202201.0,23921770.0
2011-05-11,51.73,53.09,52.4,50.12,1633771.0,32820760.0
2011-05-10,51.25,51.63,51.58,50.72,692310.0,22189980.0
2011-05-09,50.86,51.84,51.18,50.83,745829.0,23914668.0
2011-05-06,50.24,51.2,50.72,49.7,665070.0,21114492.0
2011-05-05,48.83,51.12,50.43,48.83,854210.0,26723834.0
2011-05-04,49.81,49.81,49.31,48.74,468717.0,14389517.0
2011-05-03,49.79,50.05,49.84,48.59,613672.0,18882174.0
2011-04-29,49.6,49.95,49.6,48.8,694421.0,21365520.0
2011-04-28,51.52,51.55,49.84,48.8,929000.0,29096292.0
2011-04-27,51.07,51.65,51.2,50.26,609917.0,19443048.0
2011-04-26,52.0,52.72,50.96,50.48,1069507.0,34294700.0
2011-04-25,52.13,53.58,52.45,51.79,1137839.0,37639188.0
2011-04-22,52.77,53.65,52.42,51.41,1037294.0,33887308.0
2011-04-21,53.6,55.36,52.82,52.8,2155775.0,72863648.0
2011-04-19,51.76,53.57,52.91,51.76,1948888.0,64556420.0
2011-04-18,51.68,52.32,51.71,51.28,877444.0,28373358.0
2011-04-15,51.6,53.73,52.56,51.6,1820522.0,59926888.0
2011-04-14,51.15,51.84,51.04,50.69,1054519.0,33834056.0
2011-04-13,49.74,51.18,51.02,49.44,1168181.0,37019224.0
2011-04-12,49.15,50.03,49.95,48.82,729588.0,22529646.0
2011-04-11,49.92,50.0,49.15,49.04,611361.0,18877486.0
2011-04-08,49.09,49.86,49.86,48.58,678080.0,20870800.0
2011-04-07,49.9,50.32,49.09,48.45,721839.0,22125300.0
2011-04-06,49.76,50.48,49.87,49.6,998746.0,31172182.0
2011-04-01,49.57,49.98,49.73,49.04,531278.0,16467021.0
2011-03-31,49.12,49.38,48.96,48.38,386770.0,11803856.0
2011-03-30,48.64,49.07,48.72,47.52,763106.0,22964136.0
2011-03-29,49.09,49.39,48.58,47.68,1006471.0,30393546.0
2011-03-28,50.56,51.04,49.07,49.07,818300.0,25553756.0
2011-03-25,50.58,51.04,50.56,50.08,1034335.0,32562840.0
2011-03-24,50.06,51.63,50.56,50.02,1684861.0,53811596.0
2011-03-23,49.9,50.77,50.06,49.63,783811.0,24592828.0
2011-03-22,49.44,49.9,49.9,48.83,699337.0,21610040.0
2011-03-21,49.58,49.82,49.41,48.64,569368.0,17465216.0
2011-03-18,49.36,49.98,49.58,48.98,322841.0,10008555.0
2011-03-17,48.98,50.5,49.28,48.03,832500.0,25711672.0
2011-03-16,49.1,50.0,49.7,48.8,640865.0,19778358.0
2011-03-15,49.63,49.9,49.39,47.84,1173265.0,35574796.0
2011-03-14,50.56,51.04,49.9,49.14,1318796.0,41115692.0
2011-03-11,51.84,52.16,51.2,50.29,939436.0,30247758.0
2011-03-10,50.96,52.24,51.92,50.69,1069392.0,34568776.0
2011-03-09,51.28,51.63,51.2,50.82,786542.0,25104488.0
2011-03-08,51.73,51.73,51.28,50.8,916297.0,29272282.0
2011-03-07,52.38,52.42,51.84,51.33,1036324.0,33439248.0
2011-03-04,51.66,52.13,52.13,50.96,775652.0,24920436.0
2011-03-03,53.22,53.76,51.58,51.54,802746.0,26331914.0
2011-03-02,52.64,53.28,53.12,52.14,957884.0,31578512.0
2011-03-01,52.72,54.1,53.26,52.48,1862168.0,61963496.0
2011-02-28,51.49,53.06,52.69,50.88,1847862.0,60302520.0
2011-02-25,50.82,51.6,50.86,49.87,1111295.0,35445832.0
2011-02-24,50.85,51.52,50.82,49.76,1276943.0,40535152.0
2011-02-23,49.7,50.88,50.64,49.28,1290367.0,40453312.0
2011-02-22,50.88,52.4,49.7,49.3,1422083.0,44924800.0
2011-02-21,49.65,50.94,50.88,49.65,1159497.0,36535652.0
2011-02-18,49.47,50.83,50.27,49.38,1348215.0,42366036.0
2011-02-17,49.76,50.24,49.47,49.36,1076484.0,33445358.0
2011-02-16,49.12,49.84,49.71,48.82,952886.0,29460912.0
2011-02-15,49.6,49.86,49.26,48.94,910135.0,28084414.0
2011-02-14,48.96,49.76,49.41,48.69,1043325.0,32092116.0
2011-02-11,48.11,50.0,48.98,47.84,1434575.0,43915736.0
2011-02-10,46.74,48.16,48.11,46.74,1040948.0,30890930.0
2011-02-09,48.32,48.48,47.12,47.04,708899.0,21068142.0
2011-02-01,48.03,49.02,48.59,47.84,860755.0,26101508.0
2011-01-31,46.98,48.3,48.0,46.98,719439.0,21530212.0
2011-01-28,46.7,47.92,47.66,46.46,584857.0,17297798.0
2011-01-27,46.02,47.01,46.88,44.86,817083.0,23607678.0
2011-01-26,46.4,46.61,46.11,45.6,808354.0,23260844.0
2011-01-25,45.73,46.42,45.76,44.48,735746.0,20871572.0
2011-01-24,48.06,48.32,45.76,45.36,1374722.0,39572788.0
2011-01-21,47.68,48.64,48.0,47.38,577711.0,17310680.0
2011-01-20,48.77,48.8,47.84,47.2,1094284.0,32859684.0
2011-01-19,48.08,49.06,48.75,47.92,658771.0,20018430.0
2011-01-18,47.5,48.08,48.08,47.04,694098.0,20702356.0
2011-01-17,50.18,50.18,47.58,46.91,1384940.0,41554260.0
2011-01-14,50.53,50.72,50.32,48.96,779563.0,24235536.0
2011-01-13,50.26,51.15,50.83,50.11,1050978.0,33318544.0
2011-01-12,50.42,50.8,50.03,49.73,1192850.0,37407828.0
2011-01-11,52.27,52.72,50.46,49.6,2006359.0,63629980.0
2011-01-10,54.08,54.14,52.3,52.29,1181720.0,39147928.0
2011-01-07,53.74,54.8,54.08,52.93,1140414.0,38406180.0
2011-01-06,53.94,54.06,53.92,52.93,1152734.0,38533428.0
2011-01-05,55.84,55.87,54.08,53.95,2170004.0,73881840.0
2011-01-04,55.97,56.48,55.82,55.28,1540284.0,53686048.0
2010-12-31,55.01,55.97,55.97,54.88,1438689.0,50054468.0
2010-12-30,54.78,55.52,55.26,53.12,1868368.0,63841332.0
2010-12-29,53.65,55.12,54.74,53.65,1194917.0,40728580.0
2010-12-28,53.7,53.84,53.76,52.45,994409.0,33061174.0
2010-12-27,54.06,55.49,54.08,51.68,1693704.0,56772960.0
2010-12-24,55.94,56.32,54.27,53.86,2040152.0,69591408.0
2010-12-23,56.83,57.44,56.7,55.68,1789705.0,63020756.0
2010-12-22,58.72,59.2,57.38,56.83,2102213.0,75603704.0
2010-12-21,59.78,60.46,58.88,58.4,1886174.0,69650400.0
2010-12-20,58.64,60.48,59.98,57.6,3711783.0,137807712.0
2010-12-17,59.04,59.04,58.94,57.76,1581268.0,57549520.0
2010-12-16,58.58,59.84,59.2,58.5,2021481.0,74811280.0
2010-12-15,60.56,60.64,59.07,58.82,2916750.0,108694320.0
2010-12-14,59.18,60.48,60.19,57.63,4124166.0,153550048.0
2010-12-13,56.64,60.0,59.14,56.1,5101331.0,185360400.0
2010-12-10,55.36,56.21,55.97,54.66,2408377.0,83679640.0
2010-12-09,55.12,55.76,55.38,54.08,2149951.0,73871944.0
2010-12-08,53.06,56.99,55.04,53.04,3320937.0,114851032.0
2010-12-07,51.73,53.2,53.04,51.25,1917403.0,63100284.0
2010-12-06,54.54,54.56,52.24,51.49,2594864.0,85264808.0
2010-12-03,54.48,55.65,54.72,53.68,1748936.0,59841336.0
2010-12-02,54.85,55.18,54.48,53.84,2171815.0,73912224.0
2010-12-01,52.91,54.91,54.91,52.48,2230509.0,74689640.0
2010-11-30,56.64,56.64,53.76,51.28,4764482.0,159561568.0
2010-11-29,55.3,57.28,56.64,55.04,3249419.0,114683880.0
2010-11-26,55.31,56.29,55.86,54.43,3353471.0,116436672.0
2010-11-25,56.8,57.2,55.31,54.34,4887180.0,169827744.0
2010-11-24,56.56,58.99,57.28,56.02,5641242.0,202180400.0
2010-11-23,55.68,57.76,57.44,53.76,5711449.0,199445360.0
2010-11-22,55.84,58.5,56.32,54.4,8776918.0,310064256.0
2010-11-19,54.42,56.85,56.0,52.4,11302901.0,390508640.0
2010-11-18,49.6,53.62,53.62,48.43,9250982.0,301482656.0
2010-11-17,51.22,52.48,48.74,47.68,5817338.0,183322720.0
2010-11-16,53.78,55.36,52.66,50.72,12567657.0,418020032.0
2010-11-15,48.16,52.8,52.8,48.05,9380013.0,300358368.0
2010-11-12,47.36,49.28,48.0,47.1,7105656.0,213605648.0
2010-11-11,49.2,50.32,47.68,47.55,4912891.0,151159072.0
2010-11-10,48.32,51.44,49.79,48.05,7736908.0,242653360.0
2010-11-09,47.52,48.48,48.45,46.9,5161730.0,154054176.0
2010-11-08,45.3,47.92,47.65,44.98,6075768.0,176950704.0
2010-11-05,45.58,45.76,44.94,44.58,2590974.0,72731456.0
2010-11-04,44.0,45.12,44.98,44.0,3029263.0,84164808.0
2010-11-03,45.6,45.6,44.0,43.92,4684046.0,130658464.0
2010-11-02,47.33,47.55,45.63,45.62,3794321.0,110338552.0
2010-11-01,46.88,47.6,47.25,46.32,3685753.0,108048056.0
2010-10-29,46.02,47.2,47.06,45.28,4179143.0,121496952.0
2010-10-28,45.52,46.54,46.38,45.44,3728272.0,107441296.0
2010-10-27,45.6,46.8,45.54,45.33,2876170.0,82803952.0
2010-10-26,45.65,46.56,45.6,45.12,2997162.0,85756936.0
2010-10-25,44.22,45.86,45.55,44.16,2912931.0,82614120.0
2010-10-22,43.81,44.64,44.27,43.36,2199632.0,60719352.0
2010-10-21,43.68,43.98,43.76,43.17,2414534.0,65577708.0
2010-10-20,43.52,44.45,43.6,43.04,2664129.0,72777480.0
2010-10-19,42.4,44.7,44.38,42.32,5062083.0,137473296.0
2010-10-18,43.17,43.17,42.32,41.28,3446206.0,90330632.0
2010-10-15,45.28,45.68,43.42,41.78,6405825.0,175163536.0
2010-10-14,49.15,49.36,45.84,45.62,5330507.0,156427792.0
2010-10-13,49.92,49.92,49.12,48.54,3264817.0,100095832.0
2010-10-12,47.84,49.95,49.81,47.7,4973227.0,152516928.0
2010-10-11,48.56,48.77,47.98,47.84,2370234.0,71364328.0
2010-10-08,47.76,48.77,48.59,47.46,2297085.0,69250136.0
2010-09-30,46.8,47.49,47.33,46.56,935293.0,27567690.0
2010-09-29,46.61,48.0,46.8,46.24,1127306.0,33122924.0
2010-09-28,47.95,48.0,46.56,46.48,1358967.0,40146576.0
2010-09-27,47.36,48.32,47.95,46.82,1438479.0,42871356.0
2010-09-21,48.16,48.77,47.39,47.22,1433705.0,42975032.0
2010-09-20,48.32,48.78,48.32,46.02,2986639.0,89117688.0
2010-09-17,47.1,48.8,48.32,46.9,3035102.0,91092456.0
2010-09-16,46.53,47.65,47.41,45.09,3564165.0,103752736.0
2010-09-15,48.96,49.25,46.53,46.08,3645378.0,108631368.0
2010-09-14,49.6,50.19,49.25,48.0,2503720.0,76805384.0
2010-09-13,48.5,50.4,49.6,48.48,2953761.0,91723720.0
2010-09-10,48.48,49.12,48.82,47.68,2739135.0,82989400.0
