date,open,high,close,low,volume,amount
2010-09-09,51.6,52.0,49.04,48.93,4061291.0,127466344.0
2010-09-08,49.68,51.52,50.88,49.14,4086255.0,129477056.0
2010-09-07,48.98,49.95,49.9,48.0,2704190.0,82933000.0
2010-09-06,50.32,51.36,49.17,48.94,3679123.0,115532616.0
2010-09-03,50.82,50.98,49.9,49.28,3600369.0,112506280.0
2010-09-02,50.19,50.83,50.34,48.96,3802845.0,119000584.0
2010-09-01,51.92,52.48,49.84,49.28,6143967.0,194641584.0
2010-08-31,50.99,53.26,51.98,49.68,7135095.0,228873568.0
2010-08-30,50.4,51.78,51.2,49.41,5095582.0,160721648.0
2010-08-27,49.6,52.0,49.9,49.25,6500733.0,204856848.0
2010-08-26,46.59,51.18,50.24,46.0,10329637.0,319014464.0
2010-08-25,45.6,48.0,46.56,45.28,9916401.0,290288288.0
2010-08-24,44.26,46.4,45.76,43.95,2190967.0,62236708.0
2010-08-23,44.8,45.34,44.24,43.76,1745482.0,48454828.0
2010-08-20,45.92,46.26,45.04,44.98,2341513.0,66818748.0
2010-08-19,45.49,46.24,45.92,45.33,2119630.0,60704288.0
2010-08-18,46.03,46.05,45.44,45.14,2199421.0,62603468.0
2010-08-17,46.56,46.88,46.05,45.89,3213973.0,92924224.0
2010-08-16,44.82,46.35,46.08,44.82,2820924.0,80935592.0
2010-08-13,44.14,45.07,44.77,43.46,1692785.0,46771512.0
2010-08-12,43.7,45.31,44.02,43.7,1910863.0,53384968.0
2010-08-11,44.53,44.94,44.42,43.97,1507434.0,41839160.0
2010-08-10,46.99,46.99,44.5,44.48,2857777.0,81152104.0
2010-08-09,45.73,46.96,46.69,45.63,4396980.0,127386784.0
2010-08-06,45.04,45.58,45.54,44.29,2710458.0,76404568.0
2010-08-05,44.8,46.08,45.15,44.35,3206431.0,90871872.0
2010-08-04,44.48,45.36,45.3,42.96,3069967.0,84404608.0
2010-08-03,46.37,46.4,44.53,44.48,3914388.0,110889280.0
2010-08-02,45.74,46.56,46.1,45.44,4402025.0,126466912.0
2010-07-30,44.35,46.06,46.0,43.87,4515025.0,127659576.0
2010-07-29,43.97,45.28,44.58,43.81,3364571.0,93521632.0
2010-07-28,43.52,44.14,43.84,43.01,2043611.0,55797324.0
2010-07-27,42.72,44.3,43.76,42.21,2722718.0,73621488.0
2010-07-26,41.6,43.62,42.88,41.46,2080293.0,55274148.0
2010-07-23,41.92,42.35,41.6,40.96,1111164.0,28861174.0
2010-07-22,41.5,42.06,42.02,41.12,1289445.0,33543218.0
2010-07-21,41.55,42.72,41.52,41.15,1667996.0,43719100.0
2010-07-20,40.53,41.89,41.54,40.53,1617240.0,41658104.0
2010-07-19,39.2,40.8,40.53,38.94,1302149.0,32414302.0
2010-07-16,40.0,40.58,39.66,39.12,1118323.0,27666346.0
2010-07-15,41.12,41.12,40.02,39.84,915847.0,23035734.0
2010-07-14,40.48,41.36,41.12,40.4,836031.0,21372434.0
2010-07-13,40.61,41.23,40.38,40.0,882160.0,22324240.0
2010-07-12,41.06,41.92,41.2,40.26,1310930.0,33738144.0
2010-07-09,39.36,41.28,41.22,38.61,1956780.0,49635352.0
2010-07-08,39.76,39.76,39.14,38.53,954826.0,23255702.0
2010-07-07,38.8,39.6,39.44,38.18,1212008.0,29422372.0
2010-07-06,37.3,38.77,38.66,37.14,2421465.0,57737144.0
2010-07-05,38.03,38.38,37.6,37.28,1482405.0,34998120.0
2010-07-02,39.49,39.95,38.56,36.64,3242252.0,77204056.0
2010-07-01,39.34,40.24,39.68,39.22,791695.0,19665334.0
2010-06-30,38.72,39.92,39.65,38.48,1150983.0,28212502.0
2010-06-29,43.68,44.0,40.3,40.3,1875140.0,48985732.0
2010-06-25,44.05,44.8,44.78,42.69,1267250.0,34681976.0
2010-06-24,45.58,45.58,44.8,44.64,1017294.0,28613650.0
2010-06-23,44.13,45.74,44.96,44.02,1491484.0,41973956.0
2010-06-22,44.34,45.65,44.61,44.34,995841.0,28017804.0
2010-06-21,42.5,44.82,44.62,42.22,1416969.0,38868344.0
2010-06-18,46.06,46.06,43.18,42.29,2668386.0,73495216.0
2010-06-17,46.91,48.9,46.11,46.08,3177599.0,94784488.0
2010-06-11,47.49,47.49,46.38,45.98,2192587.0,63885544.0
2010-06-10,45.57,47.89,47.28,45.3,3889868.0,114358712.0
2010-06-09,46.32,46.75,45.92,45.15,3365168.0,96523840.0
2010-06-08,45.12,46.35,45.62,44.06,3606692.0,102485824.0
2010-06-07,40.88,46.08,45.25,40.8,3162100.0,86550656.0
2010-06-04,42.35,42.62,42.22,40.8,1288507.0,33715080.0
2010-06-03,42.1,43.63,42.61,42.1,1573243.0,42305708.0
2010-06-02,40.96,42.48,42.48,40.11,1109752.0,28552248.0
2010-06-01,43.31,43.34,41.28,39.79,1869374.0,48635020.0
2010-05-31,44.91,45.09,43.36,43.31,1426330.0,39429448.0
2010-05-28,44.16,45.22,44.9,43.81,2647669.0,73834832.0
2010-05-27,42.83,43.97,43.81,42.21,1442824.0,39082916.0
2010-05-26,43.68,44.24,42.83,42.35,1501796.0,40443944.0
2010-05-25,43.81,44.61,43.98,43.33,1815886.0,49796908.0
2010-05-24,42.4,44.3,43.97,42.4,2701841.0,73632320.0
2010-05-21,39.76,41.89,41.86,39.2,1383829.0,35416704.0
2010-05-20,41.04,41.89,40.82,40.02,1441394.0,37286720.0
2010-05-19,40.32,41.95,41.04,39.68,1519051.0,38983104.0
2010-05-18,39.28,40.62,40.45,39.28,1271404.0,31846202.0
2010-05-17,40.03,41.74,39.38,38.93,1671652.0,42510880.0
2010-05-14,40.0,41.39,40.98,39.6,1905998.0,48256864.0
2010-05-13,39.02,40.62,40.46,38.26,1506743.0,37176880.0
2010-05-12,39.97,40.16,39.17,37.15,1810101.0,43973140.0
2010-05-11,43.12,43.31,39.98,39.92,2841023.0,73306248.0
2010-05-10,47.01,47.52,42.3,42.3,3738263.0,101415344.0
2010-05-07,44.8,47.84,47.01,44.64,2473525.0,71939352.0
2010-05-06,46.59,47.81,46.24,46.24,2012411.0,58997692.0
2010-05-05,44.56,46.88,46.58,44.0,1494528.0,42930860.0
2010-05-04,43.82,47.18,44.8,43.82,1513059.0,43627612.0
2010-04-30,46.58,47.13,45.6,44.51,1333169.0,60698852.0
2010-04-29,47.35,48.71,47.13,47.13,1164647.0,55777652.0
2010-04-28,47.11,48.0,47.14,46.51,1170460.0,55325336.0
2010-04-27,50.49,50.49,47.7,47.0,1818213.0,87030680.0
2010-04-26,50.0,50.99,49.88,49.61,1788904.0,89914088.0
2010-04-23,48.4,50.49,50.0,47.8,3054960.0,150990192.0
2010-04-22,47.62,49.8,48.56,47.62,2783855.0,135582112.0
2010-04-20,45.02,46.8,46.6,45.0,1225232.0,56506264.0
2010-04-19,47.0,47.5,45.8,45.63,1424700.0,66482688.0
2010-04-16,46.0,47.5,46.99,45.86,1263773.0,59197088.0
2010-04-15,48.09,48.6,46.43,45.5,2950365.0,137802416.0
2010-04-14,48.41,48.9,48.4,47.88,1846372.0,89469680.0
2010-04-13,52.5,52.78,49.08,47.13,3978797.0,196274064.0
2010-04-12,51.18,52.17,51.96,51.01,2490093.0,128410000.0
2010-04-09,50.1,53.11,51.23,50.1,4345012.0,226070896.0
2010-04-08,50.0,51.38,50.0,49.8,4358814.0,220469232.0
2010-04-07,47.33,51.59,50.5,46.83,6508066.0,320905184.0
2010-04-06,46.88,47.38,47.36,46.48,1570209.0,73728880.0
2010-04-02,47.47,47.63,46.88,46.77,2114199.0,99471920.0
2010-04-01,48.0,48.32,47.71,47.05,3008362.0,143396544.0
2010-03-31,48.0,49.1,48.0,47.83,2355441.0,114148720.0
2010-03-30,47.19,48.62,48.43,46.42,3927291.0,186291200.0
2010-03-29,48.0,49.18,47.95,47.13,2717555.0,130758520.0
2010-03-26,47.75,48.06,47.72,46.81,1803229.0,85551984.0
2010-03-25,47.91,48.36,47.93,47.05,2026495.0,96673248.0
2010-03-24,46.8,48.5,47.9,46.45,2223556.0,106100856.0
2010-03-23,47.47,47.47,46.52,46.12,1680552.0,78395488.0
2010-03-22,47.76,48.0,47.47,46.98,1456993.0,68962544.0
2010-03-19,46.87,48.2,47.75,46.52,2320693.0,110369120.0
2010-03-18,46.58,47.35,47.0,46.33,1935291.0,90471136.0
2010-03-17,46.72,46.76,46.43,45.51,2117661.0,97522848.0
2010-03-16,45.44,46.48,46.09,45.23,1959238.0,89906720.0
2010-03-15,45.98,46.56,45.45,44.82,2012197.0,91094816.0
2010-03-12,46.69,47.2,46.15,46.02,3281033.0,152981728.0
2010-03-11,46.52,47.83,47.31,46.5,6715858.0,316461952.0
2010-03-10,43.87,45.88,45.84,43.85,4891433.0,221531648.0
2010-03-09,44.3,44.36,43.85,43.66,978745.0,43055940.0
2010-03-08,43.31,44.31,44.31,42.9,1383915.0,60702416.0
2010-03-05,43.17,43.54,43.3,42.65,1278705.0,55106828.0
2010-03-04,44.21,44.84,43.15,42.8,2015485.0,88206360.0
2010-03-03,44.3,44.48,44.19,43.51,1715176.0,75498856.0
2010-03-02,44.76,45.44,44.3,44.28,2020839.0,90514632.0
2010-03-01,44.14,44.58,44.3,43.83,1635722.0,72353344.0
2010-02-26,44.0,44.5,43.96,43.27,1796849.0,78912792.0
2010-02-25,43.59,44.2,43.8,43.35,2370197.0,103733464.0
2010-02-24,41.51,43.4,43.31,41.03,2016934.0,86575456.0
2010-02-23,41.85,41.85,41.62,40.83,1148071.0,47343396.0
2010-02-22,42.19,42.62,41.88,41.63,1301891.0,54681436.0
2010-02-12,42.4,42.74,42.63,42.14,1114447.0,47343948.0
2010-02-11,42.0,42.85,42.4,41.66,1390607.0,58759572.0
2010-02-10,41.01,42.18,42.0,40.98,1310468.0,54392004.0
2010-02-09,41.76,41.92,40.76,40.58,1199298.0,49260780.0
2010-02-08,42.3,42.35,41.76,41.71,1477936.0,62161156.0
2010-02-05,41.1,42.43,42.05,40.8,2016520.0,84270696.0
2010-02-04,41.4,42.35,41.68,40.88,1747052.0,73070272.0
2010-02-03,40.95,41.77,41.61,39.88,1894026.0,77108048.0
2010-02-02,42.0,42.37,40.75,40.7,1590375.0,65972288.0
2010-02-01,43.6,43.6,41.57,41.01,1859427.0,77948768.0
2010-01-29,43.0,44.3,43.5,42.8,1797795.0,78585960.0
2010-01-28,42.69,43.66,43.36,42.69,1294890.0,55900480.0
2010-01-27,43.0,44.08,42.94,42.5,1710291.0,74257200.0
2010-01-26,44.43,44.54,43.0,42.45,2410108.0,104394792.0
2010-01-25,43.88,45.58,44.3,43.3,2931462.0,130723976.0
2010-01-22,45.0,45.58,44.12,43.01,3593306.0,158725232.0
2010-01-21,46.1,46.79,46.04,45.6,2940491.0,135680336.0
2010-01-20,50.17,50.87,46.02,45.35,7028194.0,336858272.0
2010-01-19,52.2,52.36,50.17,49.83,5716837.0,289449088.0
2010-01-18,51.06,52.98,52.1,50.6,5317713.0,274679104.0
2010-01-15,51.4,52.24,51.5,50.61,4734574.0,243050000.0
2010-01-14,51.0,53.44,51.65,50.2,12069242.0,621554624.0
2010-01-13,43.66,49.42,49.42,43.66,10139420.0,483268960.0
2010-01-12,44.25,45.8,44.93,43.96,2936789.0,132276512.0
2010-01-11,43.7,44.5,44.39,42.88,2695920.0,117686240.0
2010-01-08,43.05,44.1,43.98,43.01,1387159.0,60467608.0
2010-01-07,44.51,44.94,43.4,43.25,2776032.0,121734128.0
2010-01-06,45.3,45.78,44.82,44.41,3358350.0,151271996.0
2010-01-05,43.63,46.38,45.9,43.63,5702471.0,259001280.0
2010-01-04,42.95,44.09,43.53,42.69,2516326.0,109402640.0
2009-12-31,42.0,42.78,42.49,41.92,1208255.0,51246160.0
2009-12-30,42.9,42.96,42.11,41.88,1746658.0,73806176.0
2009-12-29,42.5,42.95,42.8,42.21,1355982.0,57755984.0
2009-12-28,43.08,43.78,42.7,42.36,1629008.0,69845408.0
2009-12-25,42.01,42.33,42.15,41.36,1512031.0,63303388.0
2009-12-24,41.18,42.26,42.17,40.78,1882581.0,78638384.0
2009-12-23,40.18,41.23,41.05,40.11,1608835.0,65528940.0
2009-12-22,41.13,41.25,40.01,39.8,1534874.0,62181772.0
2009-12-21,40.65,40.98,40.92,40.19,1584633.0,64367456.0
2009-12-18,41.11,41.39,40.13,39.7,2138644.0,86162840.0
2009-12-17,43.58,43.59,41.5,41.5,2091097.0,88293824.0
2009-12-16,43.33,43.66,43.31,43.12,1371078.0,59448200.0
2009-12-15,43.6,43.86,43.56,43.09,1575046.0,68432352.0
2009-12-14,44.82,44.88,43.55,42.58,3360858.0,145486944.0
2009-12-11,45.1,45.73,44.88,44.74,2409713.0,108690584.0
2009-12-10,44.9,46.2,45.12,44.68,4795270.0,217253792.0
2009-12-09,44.78,45.58,44.9,44.52,1464600.0,66152400.0
2009-12-08,45.9,45.98,45.16,44.31,2092969.0,94280944.0
2009-12-07,45.28,46.16,45.86,45.01,1659540.0,75711080.0
2009-12-04,48.35,48.36,45.59,44.8,5035040.0,232962416.0
2009-12-03,48.4,49.24,48.54,47.62,3844280.0,185878560.0
2009-12-02,47.01,49.9,48.76,46.55,6101146.0,293830880.0
2009-12-01,45.11,47.26,46.94,45.11,3431889.0,159397568.0
2009-11-30,44.87,45.7,45.65,44.35,2226641.0,100390024.0
2009-11-27,44.0,45.6,44.25,43.8,2453811.0,109314784.0
2009-11-26,46.0,47.7,44.91,44.35,4170558.0,192744656.0
2009-11-25,44.0,46.15,45.86,43.59,3236338.0,145694784.0
2009-11-24,47.28,48.5,44.28,43.56,4255673.0,197738560.0
2009-11-23,46.11,47.5,47.25,46.11,3153904.0,148063088.0
2009-11-20,46.2,46.77,46.38,45.8,2875707.0,133030624.0
2009-11-19,44.26,47.88,46.8,44.2,6328534.0,293517344.0
2009-11-18,44.8,44.8,44.26,43.91,1842968.0,81601840.0
2009-11-17,45.16,45.46,44.72,44.44,2061619.0,92280680.0
2009-11-16,44.83,45.8,45.18,44.5,2808197.0,126695584.0
2009-11-13,43.55,44.88,44.74,43.25,2900468.0,128609304.0
2009-11-12,43.21,43.85,43.55,43.14,1547529.0,67264352.0
2009-11-11,44.19,44.19,43.28,43.02,1851549.0,80242080.0
2009-11-10,44.19,44.68,44.2,43.6,2386223.0,105448880.0
2009-11-09,44.1,44.12,43.96,43.01,2010721.0,87538040.0
2009-11-06,44.7,44.99,44.17,44.16,2239461.0,99562592.0
2009-11-05,44.89,44.9,44.5,44.15,1918491.0,85440272.0
2009-11-04,44.0,44.97,44.6,43.58,2119280.0,93988168.0
2009-11-03,43.6,44.48,43.95,43.5,2108358.0,92685464.0
2009-11-02,41.8,43.87,43.65,41.03,3241882.0,138732384.0
2009-10-30,45.71,46.49,43.9,43.62,5368860.0,242052160.0
2009-10-29,45.12,46.14,44.85,44.51,2896943.0,130691136.0
2009-10-28,44.21,46.4,46.31,43.62,3238344.0,145600896.0
2009-10-27,46.9,46.9,44.5,44.33,4545545.0,206042704.0
2009-10-26,47.55,49.6,47.88,47.5,3421316.0,165616112.0
2009-10-23,47.85,48.78,47.47,47.0,4172671.0,198694224.0
2009-10-22,45.49,49.0,47.47,45.0,5269552.0,249231248.0
2009-10-21,45.8,46.6,44.9,44.8,3095694.0,141047504.0
2009-10-20,44.5,46.66,46.45,43.71,4349935.0,196198000.0
2009-10-19,42.73,44.88,44.3,42.62,3075500.0,135521232.0
2009-10-16,42.1,43.34,42.72,41.9,2750343.0,117409152.0
2009-10-14,41.88,43.46,41.9,41.76,3806368.0,161799088.0
2009-10-13,40.13,42.49,42.21,40.13,3119930.0,129916976.0
2009-10-12,41.18,41.44,40.53,39.63,2612742.0,106001000.0
2009-10-09,39.8,41.39,41.06,39.4,3406147.0,138106000.0
2009-09-30,40.23,40.51,39.08,39.0,3218865.0,128032424.0
2009-09-29,42.51,42.98,39.58,38.68,4692075.0,189199440.0
2009-09-28,45.61,46.77,42.98,42.22,3672939.0,164623728.0
2009-09-25,44.01,45.27,44.51,43.68,2713847.0,121092416.0
2009-09-24,45.12,46.17,44.3,43.52,3915503.0,175253408.0
2009-09-23,46.2,47.5,45.6,44.53,5588915.0,258433648.0
2009-09-22,49.08,50.03,46.45,46.45,6066724.0,291273792.0
2009-09-21,48.3,51.58,50.0,47.0,7885046.0,388338464.0
2009-09-18,47.08,51.95,48.98,47.08,8602109.0,425384064.0
2009-09-17,46.3,47.79,47.45,45.45,6971302.0,324213664.0
2009-09-16,43.51,47.96,46.25,43.51,9505390.0,435822016.0
2009-09-15,45.0,45.88,44.0,43.8,9553692.0,427688992.0
2009-09-14,46.5,48.6,46.05,44.1,17781536.0,816985536.0
2009-09-11,41.69,45.05,45.05,41.68,11996077.0,520202688.0
2009-09-10,42.0,45.0,40.95,39.9,26589336.0,1104137856.0
